week,21A (Delta),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron)
2020-04-27,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0009037505648441031,0.0,0.0,0.0,0.0
2021-04-12,0.00149812734082397,0.0,0.0003745318352059925,0.0,0.0
2021-04-19,0.001782001782001782,0.000297000297000297,0.000891000891000891,0.0,0.0
2021-04-26,0.002085747392815759,0.0009269988412514484,0.0016222479721900347,0.0,0.0
2021-05-03,0.002627324171382377,0.002021018593371059,0.0034357316087308,0.0,0.0
2021-05-10,0.0032955715756951597,0.002883625128733265,0.005973223480947477,0.0,0.0
2021-05-17,0.003917953445494353,0.0027656141968195437,0.008527310440193593,0.0,0.0
2021-05-24,0.004819960306209243,0.002835270768358378,0.010490501842925999,0.0,0.0
2021-05-31,0.0069801616458486405,0.004041146216017634,0.013960323291697281,0.0,0.0
2021-06-07,0.01060070671378092,0.006183745583038869,0.022526501766784453,0.0,0.0
2021-06-14,0.012223789374706159,0.010813352139163141,0.041372825575928536,0.0,0.0
2021-06-21,0.009416195856873822,0.015065913370998116,0.08050847457627118,0.0,0.0
2021-06-28,0.005323868677905945,0.015971606033717833,0.145075421472937,0.0,0.0
2021-07-05,0.003029155622870125,0.015145778114350625,0.24308973873532752,0.0,0.0
2021-07-12,0.0017683465959328027,0.013262599469496022,0.3769525493663425,0.0,0.0
2021-07-19,0.0010924186148131964,0.010705702425169324,0.5422766003932707,0.0,0.0
2021-07-26,0.0007905138339920949,0.008695652173913044,0.6898023715415019,0.0,0.0
2021-08-02,0.0006191183754333828,0.007800891530460624,0.7914809311540366,0.0,0.0
2021-08-09,0.0006157635467980296,0.0067733990147783255,0.8726395730706076,0.0,0.0
2021-08-16,0.0004895161948274456,0.005955780370400588,0.9268989149057681,0.0,0.0
2021-08-23,0.0002809778027535825,0.005689800505760045,0.9534981736442821,0.0,0.0
2021-08-30,0.00022458451864051506,0.005464889953585866,0.9678095523281929,0.0,0.0
2021-09-06,0.00019725811223986585,0.0055232271427162445,0.9771180589801756,0.0,0.0
2021-09-13,0.00015039855617386073,0.006467137915476011,0.9824033689276583,0.0,0.0
2021-09-20,0.00025188916876574307,0.008060453400503778,0.9851385390428211,0.0,0.0
2021-09-27,0.0,0.009467989179440937,0.9864743011722272,0.0,0.0
2021-10-04,0.0,0.008764940239043825,0.9888446215139443,0.0,0.0
2021-10-11,0.0,0.00646830530401035,0.9909443725743855,0.0,0.0
2021-10-18,0.0,0.004008016032064128,0.9919839679358717,0.0,0.0
2021-10-25,0.0,0.0029585798816568047,0.9940828402366864,0.0,0.0
2021-11-01,0.0,0.0037174721189591076,0.9925650557620818,0.0,0.0
2021-11-08,0.0,0.004219409282700422,0.9957805907172996,0.0,0.0
2021-11-15,0.0,0.004878048780487805,0.9951219512195122,0.0,0.0
2021-11-22,0.0,0.005847953216374269,0.9766081871345029,0.005847953216374269,0.0
2021-11-29,0.0,0.00684931506849315,0.952054794520548,0.0273972602739726,0.0
2021-12-06,0.0,0.014925373134328358,0.8731343283582089,0.1044776119402985,0.0
2021-12-13,0.0,0.03076923076923077,0.6153846153846154,0.3384615384615385,0.0
2021-12-20,0.0,0.024539877300613498,0.3006134969325153,0.656441717791411,0.006134969325153374
2021-12-27,0.0,0.009302325581395349,0.13023255813953488,0.8325581395348837,0.018604651162790697
2022-01-03,0.0,0.0,0.06435643564356436,0.8960396039603961,0.0297029702970297
